video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=oJAbATJCugs&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,5.7M,18 years,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical ...",2026-01-21 08:44:41.173148
/watch?v=Y3gqoDUtmt4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Global Warming - The End Game | The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,4.1M,6 years,What Is Global Warming? | The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz Hi KIDZ! Welcome to a BRAND ...,2026-01-21 08:44:41.174950
/watch?v=G4H1N_yXBiA&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,5.8M,8 years,What causes climate change (also known as global warming)? And what are the effects of climate change? Learn the human ...,2026-01-21 08:44:41.177024
/watch?v=uynhvHZUOOo&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,4.7M,4 years,"If global temperatures rise three degrees Celsius above pre-industrial levels, the results would be catastrophic. It's an entirely ...",2026-01-21 08:44:41.179945
/watch?v=2njn71TqkjA&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@TEDEd,TED-Ed,What Earth in 2050 could look like - Shannon Odell,1.2M,1 year,What could our future world look like if we continue to do nothing about climate change? Take a look at the possibilities. -- While ...,2026-01-21 08:44:41.181107
/watch?v=G9t__9Tmwv4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Scienceabc,Science ABC,Climate Change and Global Warming: Explained in Simple Words for Beginners,652K,3 years,The term climate change is used to denote the long-term changes in the weather patterns in a given region. Another term often ...,2026-01-21 08:44:41.185169
/watch?v=0F3QPY83NZQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,113K,14 years,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical ...",2026-01-21 08:44:41.187983
/watch?v=h1jOqyjcO4g&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,How much progress have we made on climate change?,2.5M,10 months,"Progress is happening all over the world. I couldn't fit the entire world into my studio though, so built a model. See how I did that ...",2026-01-21 08:44:41.191463
/watch?v=LwRTw_7NNJs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@nasaclimatechange,ARHCIVED - NASA Climate Change,Global Warming from 1880 to 2022,338K,3 years,"Earth's average surface temperature in 2022 tied with 2015 as the fifth warmest on record, according to an analysis by NASA.",2026-01-21 08:44:41.195461
/watch?v=tRA2SfSk2Tc&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@StarTalk,StarTalk,How I Think About Climate Change,2.2M,11 months,What does “climate change” mean? Neil deGrasse Tyson explains under-emphasized elements of climate change and humanity's ...,2026-01-21 08:44:41.197349
